@relation weka_SO_comments_model

@attribute text string
@attribute @@class@@ {good,bad}

@data
'mostly, car reaches mph is super broad, only mentioning a time and final velocity magnitude. for example, lets say that the car\'s acceleration from ms to ms in seconds. how did it do this? at seconds, was its acceleration still and then it jumped to ? jerk describes how it increased or in this case, a constant jerk value will make it so that the acceleration increases linearly with time. likewise, this linear accleration increase implies that the velocity increase will be parabolic, and positional change for the car would vary with time.',good
'holy crap that was beautiful haha',good
'sorry, don\'t have any more to offer. i\'ve seen other posts where developers report delays, often when the developer is far from the usa. those seemed to be caused by poor network performance. maybe i don\'t experience problems because i am in california.',good
'here you go! joshmorony.com',good
'you must at least tag the code language you\'re using and ask a more detailed question. i know it\'s java but most people don\'t and you should give more details about the technology you\'re using.',good
'read carefully the answer below, you say you know all that, and you need to create a random matrix, but you don\'t use or any other function for random numbers in your code. don\'t expect others to do your homework if you don\'t try to do it yourself',good
'looks like this code is not nearly enough to actually investigate your issue. also beware that your formatting has cause the automated systems to consider this spam so you have a second reason to edit.',good
'i\'m not familiar with fiddle. what am i supposed to be looking in that link?',good
'semantically speaking a void object is not a function, so we should have a not an error. if using a looser definition, all callable objects should be taken into account, including macros and lambdas. please see the update',good
'- i think that\'s definitely the path to go down. you can answer your own question if you like to close it off.',good
'all of this is due to the behavior of the underlying date.parse trying to follow iso . when the date string follows the y-mm-dd format, it\'s assumed to be iso with implicit utc . when the string deviates from the format e.g. mm-dd-y or slash instead of hyphen, it falls back to the looser parser according to rfc which uses local time when the timezone is absent. admittedly, this will all be quite arcane to an average person.',good
'who said it was darshan who downvoted? please don\'t judge people if you don\'t know. i find darshan\'s question a legitimate one.',good
'please don\'t tag-spam. this has nothing to do with c or asp.net-mvc.',good
'use a proper installer, don\'t write your own.',good
'interesting. i guess it depends on who your students are. my students humanities need to know how to drive the car, not how to take it apart and put it back together.',good
'michael\'s answer makes full sense to me, so i don\'t understand the someone\'s down-vote. up-voting back on.',good
'so you think your dropping of requirements will make people send you code? sorry, won\'t happen.',good
'internet archive to the rescue web.archive.orgweb this is still a lazy answer so i downvoted.',good
'this is too broad and the question is badly presented. we can\'t help or assist those who make it hard or impossible.',good
'ping one of us if you get anything. moving on',good
'you should disclose you have a personal interest in the link mentioned. if you don\'t do that, it fits the criteria for spam.',good
'every class descended from is destined to be used via interfaces because of the lifetime policy that it implements. if you want a different lifetime policy then you should choose a different base class. and you',good
'do read how to not be a spammer.',good
'really you should have explained a lot better your problem. and downvoting just because we cannot understand your unexplained problem is just silly',good
'if helpful, vote up. that\'s how you say thanks around here.',good
'what don\'t you understand? why did you write this code?',good
'pls have this as an answer! this captured a bunch of cases not sure if all',good
'meanwhile anonymous downvotes without explanation. i believe they haven\'t even understood the question.',good
'gif isnt white',good
'-fpic would be an option for a compiler, like gcc. if you\'re writing asm, you\'d have to write the pic stuff yourself.',good
'this is ridiculous, no matter how hard i try im on the edge of getting banned for some unclear reasons',good
'visit wikihow.comcalculate-percentage-in-java you might get some idea.',good
'op expects sublime text from path cprogram filessublime text sublimetext.exe so i don\'t think your answer is the op\'s intention',good
'here is the last link unlocktheinbox.commail-testersuccjdryy spf seems to be okay now, but emails are still marked as spam',good
'i don\'t think doing any simple computation every two hours is going to waste anything significantly.',good
'if i were you i wouldn\'t let my threads stay up that late. i always put mine to bed by , at the latest',good
'just cut and paste the text i will format it. pictures are barely of any use. in general, very annoying on the stack. because people cut and paste your text to make their answer. so a picture is like a waste of time.',good
'lol you deleted yours i deleted mine',good
'it\'s worth mentioning that a lot of e-mail clients i\'d dare to say the majority, even will not support javascript - not to mention the risk of the e-mail getting marked as spam or rejected altogether. i would advise redirecting them to a website doing this, rather than including a form in the e-mail itself. oh, and i just noticed..- won\'t really work when sent in an e-mail - if the form itself works to begin with which, it can, but likely won\'t.',good
'great. i\'ve painted myself into weird generic inheritance corners over and over and over, so it really helped when someone explained the alternative to me.',good
'a little advice. don\'t write an preface if you want your question answered. people don\'t want to read a story to answer your question. this will probably help you get more questions answers.',good
'you\'re lucky. i was about to go to bed. i\'ve send you a reply through email.',good
'i had this problem on some of my wordpress websites. i was surprised that no one has mentioned this on the wordpress forum. i can\'t upvote enough for this.',good
'you too boss.tacked on a for you. who actually focused on his stuff while i was off in sc somewhere.',good
'let\'s not go to deep.. alright.. this article might help.',good
'it is not enough. one cannot understand where fails without seeing everything. i suggest you to debug your program instead of asking here.',good
'they are not. one is get and second put. router should distinguish such obvious difference, don\'t you think?',good
'the problem here is that we have a lot off functions that need to be present in draw and setup. so passing them one by one, is not an solution. we could pass them ass object but then we are back at square one. thanks for all your thought peter. i will rethink the idea and maybe we have to go for a global scope.',good
'to the person who downvoted why !',good
'if you explicitly tag a question with itext, and your question is not about itext at all, it shouldn\'t come as a surprise that itext people aren\'t too happy about it. what you do, is called tag spamming, and i am going to edit your question to remove your spam.',good
'has no inherent relationship to c strings. for example, on windows, is wtf-, whilst c strings are guaranteed to be in some other encoding since win doesn\'t know what wtf',good
'actually my professor talked about the precision problems. don\'t worry he is a great professor ahah',good
'i agree. i just don\'t like to pass on the opportunity to tell people not to use regular expressions for every string processing task',good
'we want to teach him to always specify an encoding, so when the encoding is different than he thinks he doesn\'t have to come back to so with a new question about why his file reading doesn\'t work. either answer properly or don\'t answer',good
'only when you answer your own question. i think the restriction is there to stop people posting a bunch of questions and immediately answering them to game the reputation system.',good
'why on earth would you call a user ? you make things more confusing for yourself and others if you come up with arbitrary variable names.',good
'the op appears to want to get email addresses for the purposes of spamming. unless they provide a reasonable justification for what appears to be their intent, do you want to help increase email spam?',good
'why down vote i want to know? i don\'t know how these people live, just by down voting without any reason.',good
'over millions chars? this is enough for a book',good
'it\'s sad that users don\'t lose rep for downvoting questions too.',good
'stop wasting guids! we have only ,,,,,,,,,,,, of them!',good
'i\'m sorry, i don\'t understand the chaining of for cols in zip for col in cols? i understand for cols in zip but don\'t get the double recursivity there. would you mind developping, please?',good
'just put the items in an observablecollection, bind it in the xaml, and get on with your life. you don\'t get any bonus points for punishing yourself by doing things wrong. but if you\'re absolutely determined to waste your own time, have you tried raising propertychanged for the collection property? or are you not even binding it?',good
'holy sht -- i\'m so tired, thank a lot.',good
'normally we say thumb up but today i am going to say u hands up p u save my hope and time tanx',good
'thank you man. u saved my lots of time.',good
'you are a life saver dude',good
'xd lol, k let me do some digging.',good
'its totally okay.thanx anywayz.yeah i ll take a look at it and inform you that too',good
'what else you wanna know please tell me',good
'he clearly told us .all starting with a name.',good
'getting facebook friends from not-facebook would be a little tricky, no?',good
'i\'d rather ask this question and look like an idiot here than implement several mission critical solutions that break in the field. -',good
'i\'m going to sound incredibly stupid, but is there an idiots guide for this? i\'ve tried following the generic formula on multiple occasions with a small c console app and i don\'t get out numbers that make any sort of sense to me at all.',good
'you\'ve just made my life so much better. i\'ve been smashing my head against this problem, and those it causes upstream for weeks now. truly thank you.',good
'oh sorry, ive just seen that u use, pos',good
'yup.. u got it right now',good
'- just got this too a moment ago, never seen it before. i bet it\'s a bug. don\'t know why you\'re getting down voted and people voting to close.',good
'you made argsetof as static. it ain\'t gonna work as you wish being static.',good
'i think he needs to know why it didnt work in his',good
'you are a life saver man, i had been beating my head around for a long time.',good
'i cant understand , what u are saying. i m fresher in phonegap.',good
'superb dude . i up voted u for saving my day',good
'oh my god. i am the biggest idiot on the planet. spring boot requires static resources to be in and not in .',good
'thank you! i was banging my head against this for hours',good
'all right, so we have just made a big mess here you just want the count of how many rectangles you just drawed ? like everyone else say, you have that in .',good
'why man? you\'re mixing up way too many framework. chose one and stick with it',good
'he beat me by a few seconds, i was racing to be first!',good
'he has passed in his . if you look closely.',good
'there is no need to call right after you set this adapter to the ! . also where is a code of adding an items?',good
'you are a boss my friend, thank you for your time',good
'if you don\'t want to do this yourself, then you can tell bill. i\'m sure he\'s happy to do it for you to gain some magical internet points.',good
'hi i got it working. actually whenever i was opening the cron.sh file, the system was generating copy of the that file with cron copy.sh. and i was running .cron.sh like an idiot. thank you!!',good
'we love to help, but sometimes you just have to get down and dirty with the manual tutiorials a decent book, etc.',good
'i am an idiot. cropper ends before addline function declaration.',good
', even i\'m happy to help iron men btw yr welcom',good
'you saved my life! i love you man!',good
'well i feel like an idiot, i had some conflicting javascript that was interfering with the \'next page\' button getting loaded properly. this answer is correct and i will update my question with the answer.',good
'i\'m really sorry voip via adsl is blocked in my country s !',good
'too hot today to keep my mind',good
'he specifically says he knows how to do that already.',good
'i hate my life, thanks jon',good
'i love how i get two negatives. lol',good
'thank you all for helping debug! that\'s what i get when i sit around coding at home with no one around',good
'change the mask! there is no other way. the windows operating system only uses the mask!',good
'not gonna lie you had me sweating there.',good
'i tesetd your code and no data is coming through this line-',good
'what is expected outcome for first code',good
'i love d',good
'well this sucks. the backend of the iframe site has a bug that will not allow me to add the base targetparent tag to the head of the site. unfortunately i do it like this because there are around - links.',good
'how should you find out if anybody, anywhere in the world does whatever he likes with your software on his own hardware?',good
'holy wow that is awesome! - that is a really cool trick that makes perfect sense!',good
'i suppose you mean does the fosuserbundle exists and is it tracked ? the bundle exists in my copy.. but, i use git add . does it mean that files could be are untracked ? i suck at git',good
'if ya don\'t your disposables, yer gonna have a bad time',good
'three facts you must be aware of . hadoop has been designed for massive batch jobs, not for the kind of jerk-one-record-at-a-time stuff you appear to be doing . hdfs files are immutable',good
'my original comment was wrong, it\'s on since they lists are in parallel. i hate big o and all of its obscurity.',good
'hey friend can u tell me what graph is this',good
'they are more popular, because most people have non-graph punch in their punch bowls.',good
'i feel real stupid. that\'s what happens when you work too many hours in a day. thanks!',good
'they can give all the explanations they want. i still feel like someone made the wrong call when introducing , but no .',good
'i love you .',good
'as always u have been awesome!',good
'u mean i have to mute music on callstateringing?.',good
'but they act as libraries in projecta anyway and should not influence the configuration of its di container. if it happens by coincedence, say, if projecta has no its own context.xml configuration and spring is picking up one from classpath by default',good
'may be knuth\'s writings is a best place to start? he discuss many of these aspects.',good
'by default, all components of the same application run in the same process.if you kill your app the process is terminated by android, you should start a service as a separate process if you want to run some background work even if you kill your app.',good
'ok x i feel a little stupid .',good
'i am making a game like tic tac toe',good
'yes and it\'s not a problem, or i do not remember a case where this leads to a problem. afaik you have the option in plone to switch between email as login and login name as login. if you do so, changing the login should also work in your case.',good
'it\'s just one of the utterly unbelievable things about apple that they haven\'t fixed this. that, and the fucked-up graphics cards in mbps.',good
'here ya go',good
'sorry about the knee jerk reply, i\'ve had some issues before naming params so close to eachother. found the error for you',good
'i sure remember those days. hell, i\'m happy those days are in the past!',good
'i hate to bother you once more, but there\'s no one else in this thread. would you please check it again, sir. now all i want to know is if it works. and if it does it probably the computational geometry equivalent of bubblesort\'s retarded cousin.',good
'i just cant get it to work im literally making biger mess every time',good
'people like you make the world a better place',good
'i gonna have a look!',good
'cody gray, i don\'t know who he is. i have just joined in.',good
'thanks.i\'m gonna get some sleep and take another crack at it when i\'m up. if i still haven\'t gotten it you can take a look. much obliged.',good
'ok honestly, this answer is so perfect, thanit\'s working! you really saved my ass! thank you so much sir! just last question for the camera its the same? like just swap imageurivybrana for imageviewfotak? and again thank you!!',good
'k !! i imagined it really harder. as listener. i wanted to add a listener for each item.. such an idiot when i see your co.',good
'thanks.. this is so useful',good
'thx man',good
'apparently your game just cares about rank, not suits?',good
'with all due respect, you shot yourself in the foot with a regexp.',good
'wow.i feel incredibly dumb right now. like i said.probably something dumb. thanks a ton.',good
'who told you that?',good
'it has a splashscreen, but that fades out to white.',good
'nope. i gave him the key word he needs. bitmapdata.hittest',good
'people get trigger happy with downvoting',good
'how to count the each word\'s frequency in each row?',good
'yes. but.and where these friends ?. photo and name?',good
'- yeah, i\'ve noticed i would think that this would be possible though.',good
'at cr you frequently find yourself wanting to give people .',good
'this man is a genius.',good
'then why doesn\'t it say so -',good
'thanks. i\'ll go hang my head in shame..',good
'ah, this sucks! i think compiler writers would like to go the extra mile to annoy users, it is perfectly valid to have a type that includes a map that has its type as value. quite useful too.',good
'ok, no problem',good
'agreed thx. as a matter of style i chose for brevity.',good
'ha ha. very funny.',good
'this is a tricky one. apparently it even stumped harvard comments.gmane.orggmane.comp.lang.r.zelig',good
'me too',good
'with the build is always in a docker cuntainer',good
'oh i feel dumb.',good
'call proc.terminate or proc.kill in the call back',good
'what he said, buy you\'re missing a colon after',good
'well that was a life saver.',good
'can you ask the person who sent them to you?',good
'do not perform gui actions off the event dispatch thread edt!',good
'thank you, you\'re a life saver!',good
'good job ! i voted up y',good
'good madam cz i am madam . and no need madame i am gayathri . happy coding',good
'this is wht i wanted.i work like a chram .tnk u',good
'tnk u for ur help',good
'ok thx man i will try it and give you a feed back',good
'how dare you? do you think it\'s funny to make my life a living heaven? do you?',good
'u didn\'t read word programatically',good
'oh..got my mistake',good
'yes that\'s why i changed',good
lol.,good
'turbo c just won\'t die. it won\'t die!',good
'ma pleasure bro',good
'what does your friend mean, exactly, when he says he wants to join these two scripts ?',good
'finally i have found my mistake. in the c-code i swapped in the heat of the night two parameters if wanna hear the right song to the moment, listen to glen campbell guess i\'m dumb.',good
'wow, its great then let me do few more research and come up to u for more doubts .. once again thanks',good
'oh yea.. sorry .. let me do it now',good
'indeed, it\'s a transitive dependency, look at its pom',good
'afaik you need to pass either viewbag or viewdata contains maximum amount of array index to apply on view input, iterate through or loops while providing either multiquestionsij or questionsi to print text input with indexed name attribute.',good
'understood, now. thx all. i will go back and re-learn.',good
'you saved my day too! i was going crazy',good
'i almost cried. so happy. so happy. i want to give you a million up votes.',good
'oh wow i could have thought of that one myself.',good
'good job.keep it up..u really saved my day and life.cant explain my feelings.thank you bro.',good
'every day\'s a school day. a nice regex feature i have never actually seen before.',good
'oh, dear god! thank you!',good
'you\'re a bloody legend mate!',good
'you rock bro.!!',good
'hahahahaha i am stupit man.',good
'awsome man . many thanks',good
'-- and i love simplicity d thx!',good
'wow it\'s amazing!',good
'but i\'m the fastest in ice cold beer drinking',good
'well sht.. kinda feel useless now hehe',good
'loop through, keep a tally of the sum stop when you hit the chosen sum of',good
'what every programmer absolutely, positively needs to know about encodings and character sets to work with text',good
'yup,i gotta think laterally here',good
'o my god i did try this but i left out the son of a gun.',good
'nevermind, i got it. i like it. mine was fast because it wasn\'t as clean as yours lol',good
'oh great.. y!',good
'no its not the total',good
'eitan no, i just her fans.',good
'i have seriously gotta look at all these formulae i didn\'t even know existed until today. left? mid? right? que!? thank you lookaji',good
'alexis, here is head of store',good
'thank you for your answer. let\'s assume that i\'m a complete idiot as i\'ve been known to be one from time to time haha, can you think of anything that i could have possibly screwed up to cause this? worst-case scenario kind of thing?',good
'oh sorry! this my fault , it turns out the advice you gave succeed . thanks bro !',good
'apparently you don\'t know this answer yet.',good
'this helped me a ton! thank you!',good
'plus , and i love this more',good
'you my man, are a genious',good
'oh, okay got it',good
'only i cant show u',good
'oh man thanks, it was such a fail',good
'his question and first statement is oposit. check once',good
'hooks, my friend. hooks.',good
'i suspect that you are a very wise man my friend.',good
'hehe, this guy just linked us to localhost . it\'s not loading. help!',good
'u\'r welcome. good luck',good
'hahahaha it did work yea ! you made my night ! wouooh alfajbgg aginall fnf yes!',good
'excuse me, i know i looked like complete idiot but i\'m not sure that i understand what you mean',good
'i kind of understand it now, but i don\'t think i\'m using it right. i serialized a variable with the value of , and then after deserializing on startup of the program, and printing out the value, it was still .',good
'you are right friend , excuse me !',good
'oh.. right.. let me get back to you..',good
'i love you',good
'you\'ve made me entire day! thankyou.',good
'lack of research effort',good
'agree but - for answering a dupe. you should know better.',good
'this shows zero effort on the author\'s part.',good
'seriously did not even try did you. please at least search google if not stack overflow before posting a question.',good
'if programming is your thing then a little bad information won\'t hurt anyway. everyone knows what they\'re talking about, but many of them are very, very wrong, even when you get into the workplace. half the challenge is figuring out who to listen to. if your instructor is giving you questionable information and you\'ve figured out where heshe is off then you\'re on the right track.',good
'i think the downvote is because it is genuinely very unclear but i can even things up a bit.',good
'voting to close as unclear, as a question was asked in the comments, but no clarifications were forthcoming.',good
'by no means i want this question to be closed, but isn\'t this question a bad fit by so standards? similar questions have been closed because their title\'s was categorized as opinion based. i just don\'t get it that so works. perhaps how so rulings works is opinion based.',good
'from a console, or a multitude of windowing wrappers that drive commands to gdb if you\'re into guis. personally, i\'d hit the web for a quick-info tutorial on gdb and old-school it from a console as a learning experience. trust me, the effort it will pay for itself many time over. don\'t forget to build with debug-symbols enabled -g',good
'xml is very strict about the format of attributes. html\'s rules are much looser. e.g. is a valid html attr but invalid in xml. really, they\'re both derivatives of sgml.',good
'thank you, stupid mistake --',good
'please search first as this only gets asked thousands of times on this site. for example',good
'if you can\'t properly formulate what exactly you\'re trying to do, finding or getting help are not going to be easy. anyway this is not about programming, so off-topic for stack overflow.',good
'i\'m afraid this type of question isn\'t a good fit for stack overflow. see stackoverflow.comhelpon-topic',good
'if you guys ant say anything just don\'t down-vote simply without asking',good
'no problem don\'t forget to mark answer as correct',good
'the people who really tried some code, i tried to gave them full answer, otherwise not recently.',good
'you can answer your own question and accept it to help the others who may encounter the same question as you',good
'people only have eye on the fomat of question. anyone give me an answer?',good
'please delete the old comments',good
'yes its not a doubt its a fear of my mind that cant take a choice or dont know where to go',good
'there\'s nothing wrong with a post being closed as a duplicate. if it doesn\'t answer your question then edit your question explaining why. in the mean time - this post is locked for an hour to give everyone time to take a walk and chill out. keep it civil and constructive. thanks.',good
'please don\'t downvote my questions without explaining the reason! it limits my privileges. i\'m just new here, guys, come on!',good
'can you please leave a comment when you downvote, i would like to know why.',good
'don\'t expect a magic answer. listen to comments given. i\'m not going to stand here for hours waiting. i have better things to do with my time.',good
'to clarify the comment by - the recommended asks the device to render the website based off its actual pixel width, rather than the pixel density which can sometimes cause a website to load as though you were zoomed out.',good
'you\'re leaving a trail of unanswerable and unanswered questions. watch out beyond a certain number of such questions, you\'ll find yourself unable to ask new questions. best to delete such threads before forum rules catch up with you.',good
'perhaps you should expand your acronyms, for people who don\'t know what spoj or wa mean.',good
'what would be of help is trying to help yourself before asking others. ahk is well documented. have you started off by reading the introduction to hotkeys?',good
'you did a great job describing what you already have. but we don\'t know the exact problem you are facing. can you enlight us?',good
'so is neither a code-writing nor tutorial service take the tour and learn how to ask.',good
'what did you try? we are here to help you solving bugs, not to write code for you. altough that is an easy way to gain reputation, it does not help you learn.',good
'generally speaking you can\'t and shouldn\'t abort user attempt to leave your site.',good
'use a search engine to find a tutorial or just read the docs at jspm.io',good
'it\'s nothing, don\'t mention it. if you have further questions maybe ask a new question, also .. cheers',good
'we aren\'t a freelancing site. start doing it yourself and when you have a specific problem come back and ask. we\'ll help. but we aren\'t going to write the app for you.',good
'i noticed you\'re just doing a bulk edit and strip off the from your lines. may i ask? are you just cleaning up? i read about it and learned fatal is not particularly recommended nowadays. is that the reason? no offense, i\'m just curious. this is a self-destructing comment.',good
'this is a great question! generally people want the opposite of what you\'re asking for!',good
'i don\'t mind the downvote but i would appreciate an explanation that would allow to make the answer better.',good
'you\'re welcome and don\'t forget to mark you questions as answered if they are so others can benefit from them.',good
'don\'t forget to upvote answers and choose the best answer',good
'you\'re getting downvoted because before asking you should try something and then come here and ask what is not working. providing code is a vital part of a question',good
'you are always allowed to answer your own question. normally it is only done when the solution isn\'t covered by an existing answer and when you think that your own answer will be helpful for others.',good
'don\'t forget to look for the answer yourself before asking us google.comsearch?qitemgetter',good
'that\'s not how so works. we are not a debugfixwrite my code for me site. you do the work, we help - if you ask well researched and well explained specific questions.',good
'i went through your other questions on stackoverflow, and there\'s not a single well-researched, well-asked, precise question amongst these. please go and read the how to ask a question page, and also inform yourself on which topics are allowed on stackoverflow. this question is totally off-topic.',good
'and reading a sparql tutorial does not work for you?',good
'how do you expect us to know whats going on without seeing any code or the website itself?',good
'showing the action isn\'t going to help us identify why it\'s getting called twice. that\'s like showing us a bullet and asking us to identify the shooter!',good
'do you have any effort to show us? remeber that you shouldn\'t post questions that just ask write code for me see the help center',good
'you don\'t have to create a library. turns out someone already did icu. btw, please my honest words of sympathy.',good
'one question at a time, and we don\'t recommend libraries, that\'s off topic here',good
'thanks for the note. please consider to accept the best solution by clicking on the tick mark next to the vote.',good
'i just realized - you asked this question already, right here. and you even marked the suggested answer as the accepted answer. why are you repeating your question? if the answer isn\'t correct in the other question, why not unmark the accepted answer, and comment under that answer to explain the issue?',good
'where on earth did you get the impression there stack overflow is a free research tool where people do your research work on your behalf?',good
'i am a little lazy and just want to have a quick answer from experienced person. i don\'t need to know them in very detail for now. want to have a high level understanding first.',good
'heck with the down votes . i\'m just trying to learn. thanks.',good
'read my comment - i never said the question was opinionated. recommendation questions are off-topic because they tend to attract opinionated answers and spam. the link i gave gives some good pointers on how to ask a good recommendation questi',good
'deploy the site on google app engine?',good
'so how do you guys know that op is taking that course and he is asking this because he has to do the homework?',good
'you don\'t need the cast to - an address will implicitly convert anyway.',good
'not anymore. the community shouldn\'t need to downvote answers to clean up.',good
'if you meant the single quotes, i have corrected it. also this might not be a copy-paste soln. beacuse i dont know ur db schema. you can understand the logic and implement.',good
'hold it dude - are you including your own manual trees ?!! like real physical trees?',good
'i can\'t believe you\'re suggesting to use regex when someone finally asks a question about parsing html properly.',good
'sorry for my idiotic way of asking',good
'you have enough reputation to upvote answers and you can also accept most useful answer. please make use of this privileges as especially accepting an answer is very important here on stack overflow. endoro and i have spent a lot of time to help',good
'can you please delete your answer? i would like to delete this question.',good
'i thought to swap array. and don\'t mind my mistakes while asking cause i am new to this community.',good
'that is sad. have you tried contacting bluemix support and asking them for help?',good
'im just a noob trying to get some help',good
'feel free to upvote my answer if it helped out!',good
'i know bro i cant thank you enough sorry for pissing you off man . really thank you',good
'assuming i am a total idiot, please comment those lines, or put it in a step-by-step format that i could follow - is not something so is here for. take the tour and read how to ask.',good
'i don\'t mind the downvote but at least point me in the right direction while you\'re at it! -',good
'no problem, if you found the answer helpful then don\'t forget to mark it as accepted. happy coding!',good
'why is everyone down voting this?',good
'why would you guys downvote this good question',good
'i\'m voting to close this question as off-topic because asking for code is not the purpose of this site. please read the faq.',good
'have you actually tried debugging your own code before posting? does this even compile? last time i checked isn\'t a valid keyword',good
'wrong site. you\'re looking for ask ubuntu or super user instead. this site is for programming questions.',good
'don\'t know why you got a downvote just like i got one for this. plus one.',good
'i\'m afraid this is off-topic here. you can look this up in any math textbook.',good
'give answer if you know how to solve this instead downvote the question.',good
'i also have another question a bit off-topic. how do you guys get notified that a question is posted on stack overflow. i got your reply very fast.',good
'those errors aren\'t caused by my answer, they\'re a consequence of the compiler going further down its checklist now that i fixed the most pressing error.',good
'it\'s on my feed i haven\'t been answering questions lately though. lots of stuff going on on my end.',good
'- i don\'t have one and i don\'t have the time to create one. if you wan\'t to fork your plunker, or create a new one, and give it a try i will do what i can to help you.',good
'yes sorry i managed to solve it, it was the most stupid error i\'ve ever done. i put an underscore instead of the dash when naming the file!',good
'this is fucking awesome. thanks so much. i understand most of the code, i just have a few questions. is there a reason why the print method is at the bottom? and how come it replaces the output of the first block? wouldn\'t the code run the main method first and fail?',good
'it doesnt matter where the print function is declared \'how come it replaces the output of the first block\' wtf? can you write it again you need to return a variable thats why system.out.println did not work',good
'this isn\'t hard to understand. the dropdown is in a container that clips all its content and hides it, but the menu has a high z-index to put it above everything, but that doesn\'t help because the container still clips it. in other words, the menu shouldn\'t be in the container at all. bootstrap\'s menu sucks, because it doesn\'t parent the menu to the document above everything, it just leaves it in whatever container it happens to be in. it\'s bad design.',good
'both of these solutions work, however when i ctrl c to kill the testtail command my prompt turns red. any idea what thats all about?',good
'check the configuration options--configure texmaker--command--biblatex bibtex .aux use the stupid pdflatex-biblatex-pdflatex pdflatex order to compile try to match the bibtex version with the biber version i have now . and . so hope something is working i dont know .i ve been like days searching for a solution',good
'do you know at which place should i applied the code? i replaced the app by the actual app id, but it doesn\'t seem to work. i think it might be safer to go with option since it will open a new window, there is less chance of something going wrong for the people clicking. and thanks for your first answer! also i should ass that this is dedicated to mobile only, not that it would change a lot of things.',good
'i\'m not sure, but version true might be interpreted like --version, thus typedoc simply emits the version and quits.',good
'if is just a part of your messages, you can use internazionalization but adding parameters so you can make it a little bit more dynamic.',good
'not a shitty calc, just don\'t give up !',good
'it was a joke about another post fred. the one where the guy said you were doing it wrong.',good
'your comment however didn\'t help me with my question.',good
'haha. don\'t worry about it!',good
'got it.i was stupid that when i add url url\'getvariants\' \'\' masterid, it showed me internal error and i thought i must be some other error.when i print some value thn it shows me the response.',good
'i was so stupid.it was an server error later.',good
'exactly what i was looking for. the reasoning why the last day is left out. still, its a stupid default.',good
'okay think you can ignore my stupidness - i\'ve found another duplicated stackoverflow post here stackoverflow.comquestions - will just follow this',good
'oh thank you very much, i was looking at that stupid gradle example and thinking that keep is something like dont modify this source cos i might debug it or similar stuff',good
'everybody please help me!',good
'not at all. but this doesn\'t jump to the definition of a struct either, when ctrlclicking on a struct name',good
'oh no. my playground shows me how many times my if statement is true. i put a print inside my loop and shows me times. i understand now. sorry for this stupid question',good
'interfaces are good. but for looser coupling, use broadcast listeners.',good
'sorry for giving away the trade secrets, boys.',good
'can i move question? or should i repost it?',good
'i wanna be like you when i grow up',good
'how are we supposed to know?',good
'i really can\'t understand the question',good
'further, unless looser semantics have been requested, a compiler should ensure that all register-cached values whose address has been exposed to the outside world are synchronized with their underlying storage before and after any vo',good
'besides being a dangling pointer, adding insult to injury this code will attempt to retrieve, randomly, element through from an array that contains elements through . th of a time, this will result in undefined behavior, and a likely crash.',good
'thanks, i didn\'t know that, i only bothered to remember that is a piece of garbage. is much more usable.',good
'back one year later. i have now accepted it eagle couldn\'t be more right in his poetry.',good
'ok. but how can somebody down vote without knowing the concept',good
'please read my question carefully. i asked auto trim, not manual trim',good
'old answer, but still very relevant. code analysis as it is now still has some silly rules such as this one which assume coders are idiots. anyone who even half way understands the language knows what means. first thing i do when setting up a new project is disable a ton of ca rules such as ca.',good
'good to know you manage to resolve',good
'this community is all about programming, not commandline help',good
'how silly i am for this stupid question.shame on me.',good
'to actually add insult to injury why in the world somebody thought of adding , instead of a ranged constructor?',good
'gotta love those people who simply downvote questions without reading them.',good
'well if you know what you\'re doing, yeah.',good
'nevermind, i was able to finally narrow down the problem. the way i have it, is that one of the ways you can open the is through a submenu when you right click. however, i kept reading the s w',good
'i couldn\'t so am asking.',good
'but . i dont knw',good
'u r right. thanks for saving my ass',good
'god damn i feel like an idiot now lol',good
'holy jesus. i probably just made the biggest blunder of my life. you\'re right!',good
'why was this voted down? vote downs with no explanation are the worst thing about so.',good
'managed to solve it. ugh, what an idiot. the was sitting inside a which was sitting inside a . i was moving the up on and this was, whilst visually ok, pushing the outside of its parents boundaries, so touches weren\'t registering. thanks for your help',good
'wow thank you i feel like an idiot. thanks for taking the time!',good
'no. he told a joke!',good
'i see ! you\'re good then.',good
'i don\'t why he\'s getting minus he asked a decent question.',good
'btw a great tool for this is relacy, it allows simulating looser memory models on x, i wrote up my adventure here codersblock.orgblogditching-the-mutex',good
'do you guys have any idea about this',good
'if you cannot your self tell from your stack trace what causes the error, you may want to post the stack trace here.',good
'don\'t ever let anyone tell you that you are not the man because you are the man!',good
'we are all learning lol don\'t feel bad at all',good
'you\'re the mvp!',good
'this question with his answer are really useful for those who are not a designer and can\'t effort don\'t want to pay one.',good
'hi lol you\'re hilarious',good
'i\'ll do that. sorry for wasting people\'s time.',good
'i only wanted to mention it, not to insult you. it does not mater how long you in, but how many different type of tasks you have done. everyone is learning.',good
'he is twist, so rape serial port, which incoming firstfifo, where a query where matched answer? who clear ? he send query and try opening file, what is timeout exception ?',good
'fyi you should use hour format or else how do you know the difference between in the morning and at night? also no need for the as the db column doesn\'t use that.',good
'you can set property..',good
'this worked perfectly. i was looking for a way to not remove the class from the clicked dot and this was it. thank you.',good
'this is more of a workplace question. we answer questions about writing computer programs here.',good
